uid,trace
2001,-5.458398 34.8482 0.0;-5.458133 34.8483 0.0;-5.458192 34.84862 0.0;-5.458629 34.84866 0.0;-5.458421 34.84819 0.0;-5.458398 34.8482 0.0;-5.458398 34.8482 0.0;
2002,-5.590889 34.89976 0.0;-5.591224 34.89954 0.0;-5.591539 34.89987 0.0;-5.59143 34.90009 0.0;-5.590894 34.89973 0.0;-5.590889 34.89976 0.0;-5.590889 34.89976 0.0;
2003,-5.688987 34.75804 0.0;-5.689261 34.75743 0.0;-5.688635 34.75724 0.0;-5.688113 34.75757 0.0;-5.688589 34.75816 0.0;-5.688987 34.75804 0.0;
2004,-5.687973 34.85483 0.0;-5.68821 34.85566 0.0;-5.688774 34.85538 0.0;-5.688624 34.85493 0.0;-5.687973 34.85483 0.0;-5.687973 34.85483 0.0;
2005,-5.742176 34.8448 0.0;-5.742261 34.84469 0.0;-5.742245 34.84457 0.0;-5.742118 34.8445 0.0;-5.742037 34.84457 0.0;-5.741859 34.84471 0.0;-5.741734 34.84494 0.0;-5.741609 34.84514 0.0;-5.741432 34.8453 0.0;-5.741221 34.84554 0.0;-5.741434 34.84569 0.0;-5.74162 34.84552 0.0;-5.741763 34.84538 0.0;-5.742038 34.84514 0.0;-5.742009 34.84507 0.0;-5.742176 34.8448 0.0;
2006,-5.597646 34.8382 0.0;-5.597665 34.83852 0.0;-5.596961 34.83862 0.0;-5.596931 34.83894 0.0;-5.597365 34.83902 0.0;-5.597581 34.83874 0.0;-5.598537 34.83847 0.0;-5.598431 34.83809 0.0;-5.597646 34.8382 0.0;
2007,-5.799398 34.49611 0.0;-5.799235 34.49607 0.0;-5.799199 34.49621 0.0;-5.799041 34.49622 0.0;-5.798963 34.49687 0.0;-5.7993 34.49692 0.0;-5.799398 34.49611 0.0;-5.799398 34.49611 0.0;
2008,-5.767602 34.60591 0.0;-5.767208 34.60549 0.0;-5.767506 34.60492 0.0;-5.768284 34.60484 0.0;-5.768468 34.60503 0.0;-5.767651 34.60595 0.0;-5.767473 34.60603 0.0;-5.767444 34.60596 0.0;-5.767602 34.60591 0.0;-5.767602 34.60591 0.0;
2009,-5.695085 34.56938 0.0;-5.695264 34.56921 0.0;-5.696244 34.56961 0.0;-5.696226 34.56979 0.0;-5.695085 34.56938 0.0;
2010,-5.688836 34.50162 0.0;-5.688863 34.50174 0.0;-5.689596 34.50162 0.0;-5.689602 34.50153 0.0;-5.689392 34.50133 0.0;-5.689274 34.50133 0.0;-5.688876 34.50141 0.0;-5.688836 34.50162 0.0;
2011,-5.713601 34.53821 0.0;-5.713591 34.53853 0.0;-5.713363 34.53866 0.0;-5.713215 34.5385 0.0;-5.713257 34.53828 0.0;-5.713438 34.5382 0.0;-5.713476 34.53815 0.0;-5.713516 34.53814 0.0;-5.713539 34.53817 0.0;-5.713601 34.53821 0.0;-5.713601 34.53821 0.0;
2012,-5.560434 34.53102 0.0;-5.56007 34.53084 0.0;-5.559933 34.53063 0.0;-5.559946 34.53028 0.0;-5.560071 34.53031 0.0;-5.56006 34.53052 0.0;-5.560089 34.53048 0.0;-5.560386 34.5305 0.0;-5.560497 34.53097 0.0;-5.560431 34.531 0.0;-5.560434 34.53102 0.0;
2013,-5.65001 34.6096 0.0;-5.650432 34.60978 0.0;-5.650582 34.61007 0.0;-5.650171 34.61039 0.0;-5.649833 34.61028 0.0;-5.649832 34.61029 0.0;-5.649707 34.60992 0.0;-5.649486 34.60958 0.0;-5.649563 34.60946 0.0;-5.649798 34.60951 0.0;-5.650045 34.6096 0.0;-5.65001 34.6096 0.0;
